Brand,Nama,Harga,Jumlah Review,Variasi,Foto Produk
Yves Saint Laurent,All Hours Hyper Finish Setting Powder,"Rp 1.375.000
   Rp 1.210.000 
    12% OFF",(203),11 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3614273997461-Yve-Saint-Laurent-All-Hours-Hyper-Fi_bd66686ed519791f88d42d15480468f19c3b08f5_1720175010.png
DIOR,Forever Cushion Powder,Rp 1.250.000,(255),5 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_3348901506519_1_7408ca8dffa586f725c377371a8104f62325e4e8_1613405588.png
MAC Cosmetics,Fix+ Multitasking Setting Spray,Rp 330.000,(86),2 sizes,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_IMAGE01_773602710690_FixPlusOriginalOverhaul_30ml-Mini_1_300_93e3199763e287a3bc17c7f9e13b87f8c9d032cf_1718610731.png
Benefit Cosmetics,Mighty Fine Brow Pen,Rp 475.000,(951),8 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_602004156945-Benefit-Cosmetics-Mighty-Fine-Brow-Pe_228d7b60bccc8c0b7431ee2d6bef1eb0a678d039_1736828059.png
Sephora Collection,Nano Lip Liner,Rp 168.000,(3022),10 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_8971_SephoraCollection_WEB_7e14f2fcebec35d5ba108c65a752d808a887a0ee_1603739978.png
Benefit Cosmetics,Hoola Matte Bronzer,Rp 980.000,(1585),3 sizes,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_602004155665-Benefit-Cosmetics-Hoola-Bronzer-Jumbo_ccb76cf8565e30f0d6171795ec793fd99f4e5726_1720781151.png
Huda Beauty,Easy Blur Silicon-Free Smoothing Primer,Rp 350.000,(1673),2 sizes,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_6294018407720-Huda-Beauty-Easy-Blur-Silicon-Free-S_067b4fade340591ff7e71f4731a60bb89e2de9cd_1756263858.png
Rare Beauty,True To Myself Tinted Pressed Finishing Powder,Rp 655.000,(2041),8 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122902031-Rare-Beauty-True-To-Myself-Tinted-Pre_a059a00a41f6f6e77fdc7b7e0a330f4c9688c6d1_1726135796.png
Sephora Collection,Express Waterproof Makeup Remover,Rp 132.000,(4114),2 sizes,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872250128-Sephora-collection-Express-Waterproo_33669efa593ff8d3d7987f3c1ed5bdbb5e55f5ce_1737434167.png
Yves Saint Laurent,The Inks Blur,Rp 800.000,(233),13 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_237_3c331613a26f366446dd2bb9297a8b4104e340d5_1759217950.png
DIOR,Forever Blush Soft Filter,Rp 930.000,(16),5 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901762656-DIOR-Forever-Blush-Soft-Filter-01-Pe_cc434a2b790416e493ae4934a2942bc28c7a3f23_1758867828.png
NARS,Light Reflecting Pressed Setting Powder,Rp 695.000,(996),2 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_607845058946_1_4b9727e088e404f739c2d49882adea76e0277537_1648541477.png
